2025-12-02T15:20:32.874441 | 10 * 10 = 100
2025-12-02T15:20:43.345699 | 2 ** 10 = 1024
2025-12-02T15:21:51.182885 | 10 + 5 = 15
2025-12-02T15:21:51.182885 | -3 + 7 = 4
2025-12-02T15:21:51.183917 | 3.5 + 2.1 = 5.6
2025-12-02T15:22:06.895381 | 20 - 5 = 15
2025-12-02T15:22:06.895381 | -10 - 4 = -14
2025-12-02T15:22:06.895381 | 7.2 - 3.2 = 4.0
2025-12-02T15:22:23.536309 | 10 // 3 = 3
2025-12-02T15:22:23.536309 | -10 // 3 = -4
2025-12-02T15:22:23.536309 | 5.5 // 2 = 2.0
2025-12-02T15:22:31.350355 | 10 % 3 = 1
2025-12-02T15:22:31.353666 | -10 % 3 = 2
2025-12-02T15:22:31.356807 | 4.5 % 1.2 = 0.9000000000000001
2025-12-02T15:22:40.645443 | 2 ** 3 = 8
2025-12-02T15:22:40.647461 | 10 ** 0 = 1
2025-12-02T15:22:40.653023 | 4 ** 0.5 = 2.0
2025-12-02T15:23:09.372097 | -10 + 5 = -5
2025-12-02T15:23:09.373650 | 10 + -5 = 5
2025-12-02T15:23:09.379759 | -10 + -5 = -15
2025-12-02T15:23:09.381755 | -12 / 3 = -4.0
2025-12-02T15:23:09.381755 | 12 / -3 = -4.0
2025-12-02T15:23:09.386145 | -2 ** 3 = -8
2025-12-02T15:23:18.504836 | 3.14 + 2 = 5.140000000000001
2025-12-02T15:23:18.507832 | 10.0 / 3 = 3.3333333333333335
2025-12-02T15:23:18.511012 | 2.5 * 4 = 10.0
2025-12-02T15:23:18.514444 | 7.7 - 3.3 = 4.4
2025-12-02T15:23:24.990103 | 0 + 5 = 5
2025-12-02T15:23:24.992218 | 10 - 0 = 10
2025-12-02T15:23:24.993993 | 0 * 100 = 0
2025-12-02T15:23:24.995001 | 0.0 + 0.0 = 0.0
2025-12-02T15:24:17.146328 | 10 + 5 = 15
2025-12-02T15:24:17.147431 | 5 * 2 = 10
2025-12-02T15:24:17.148427 | 100 / 4 = 25.0
